"","authors","title","year_3","donwscaling_approach","allocation_method","downscaling_scale","location_name","control_variable","variable_description","variable_extra_description","response_variable","response_ecosystem","global_limit_considered","time_serie","year_15","boundary_percapita","territorial_boundary","footprint_percapita","territorial_footprint","overshoot","geographical_extent","grain_resolution","environmental_performance","data_reference","social_policy_involved","observations","boundary_studied","variables_considered_for_quantification","publication_year","year","x28"
"1","Røkås T.; Gómez-Baggethun E.","Defining a safe and just operating space for the Norwegian economy","2025","top down","inter- and intra-generational sharing principle","country","norway","GHG emissions to stay within 1.5C","The remaining cumulative greenhouse gas emissions (excluding land cover changes) for a 50 % chance to stay below 1.5 °C by 2055 compared with pre-industrial level","CO2 budget adopted for Norway is an equal (per capita) share of the predicted world population between 1990 and 2055 (Statistics Norway; UN, 2019), accounting for accumulated emissions from 1990 to 2019 (Gütschow et al., 2021) and a carbon budget for a 50 % chance of staying within temperature rise of 1.5 °C equal to 500Gt CO2 (IPCC, 2021).",NA,NA,NA,"1990-2000",NA,NA,"1129 Mt CO2e",NA,"2413 Mt CO2e",NA,NA,NA,"consumption-based","Eora MRIO; IPCC, 2021; PRIMAP; Statistics Norway; United Nations, 2019",NA,"To measure emissions, we used consumption-based accounts (CBA) (Lenzen et al., 2012, Lenzen et al., 2013). inter- and intra-generational sharing principle (Dao et al., 2018)","Climate change",NA,NA,NA,NA
"2","Røkås T.; Gómez-Baggethun E.","Defining a safe and just operating space for the Norwegian economy","2025","top down","inter- and intra-generational sharing principle","country","norway","GHG emissions to stay within 1.5C","The remaining cumulative greenhouse gas emissions (excluding land cover changes) for a 50 % chance to stay below 1.5 °C by 2055 compared with pre-industrial level","CO2 budget adopted for Norway is an equal (per capita) share of the predicted world population between 1990 and 2055 (Statistics Norway; UN, 2019), accounting for accumulated emissions from 1990 to 2019 (Gütschow et al., 2021) and a carbon budget for a 50 % chance of staying within temperature rise of 1.5 °C equal to 500Gt CO2 (IPCC, 2021).",NA,NA,NA,"1990-2000",NA,NA,"1129 Mt CO2e",NA,"1655 Mt CO2e",NA,NA,NA,"production-based","Eora MRIO; IPCC, 2021; PRIMAP; Statistics Norway; United Nations, 2019",NA,"To measure emissions, we used both production-based accounts (PBA) (Statistics Norway, 2023b). inter- and intra-generational sharing principle (Dao et al., 2018)","Climate change",NA,NA,NA,NA
"3","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","afghanistan","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO2",NA,"0.14 tCO2/cap",NA,"0.09",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"4","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","albania","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO3",NA,"2.62 tCO2/cap",NA,"1.63",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"5","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","algeria","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO4",NA,"2.09 tCO2/cap",NA,"1.30",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"6","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","angola","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO5",NA,"1.01 tCO2/cap",NA,"0.63",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"7","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","argentina","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"5.26 tCO2/cap",NA,"3.27",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"8","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","armenia","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"2.74 tCO2/cap",NA,"1.70",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"9","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","australia","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"19 tCO2/cap",NA,"11.80",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"10","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","austria","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"12.4 tCO2/cap",NA,"7.70",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"11","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","azerbaijan","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"4.44 tCO2/cap",NA,"2.76",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
"12","O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.","A good life for all within planetary boundaries","2018","top down","equal share per capita","country","bahrain","CO2 emissions","Consumption-based allocation of CO2 emissions from energy and cement production.","As an alternative boundary to 350 ppm, authors used the 2 C temperature stabilisation goal emphasised in the Paris Agreement. The cumulative emissions from 2011 to 2100 associated with a “high” probability (66%) of achieving this goal are approximately 1000 Gt CO2, or given a population of 7 billion people, approximately 1.61 t CO2 per capita (assuming CO2 emissions available in the 2011– 2100 carbon budget are distributed uniformly over time).",NA,NA,"350ppm",NA,NA,"1.61 t CO6",NA,"13.23 tCO2/cap",NA,"8.22",NA,NA,NA,"www.worldmrio.com",NA,NA,"Climate change",NA,NA,NA,NA
