authors;title;publication_year;approach;approach_detail;downscaling _scale;location_name;control_variable;variable_description;variable_extra_description;response variable;response ecosystem;global_limit_ considered;year;boundary_percapita;territorial_boundary;footprint_percapita;territorial_footprint;overshoot;calculation_resolution;data_reference;social-policy involved;Observations
"Røkås T.; Gómez-Baggethun E.";Defining a safe and just operating space for the Norwegian economy;2025;bottom-up;bottom-up;country;norway;Total N levels in aquatic ecosystems;;Aggregated total of freshwater lakes and coastal waters in worse than “good condition”, divided by the total amount of freshwater lakes and coastal waters in Norway where Total N has been assessed;;;;2021;;100.0 %;;76.7 %;;;Vann-Nett portal (https://vann-nett-klient.miljodirektoratet.no/waterbodies/map);;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Afghanistan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN;;1.16 kgN/cap;;0,13;;World Development Indicators | DataBank;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Albania;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;27.59 kgN/cap;;3.10;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Algeria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;2.49 kgN/cap;;0.28;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Angola;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;1.69 kgN/cap;;0.19;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Argentina;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;9.97 kgN/cap;;1.12;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Armenia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;25.28 kgN/cap;;2.84;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Australia;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;49.31 kgN/cap;;5.54;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Austria;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;70.31 kgN/cap;;7.90;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Azerbaijan;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;11.04 kgN/cap;;1.24;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bahrain;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;15.04 kgN/cap;;1.69;;;;
"O'Neill D.W.; Fanning A.L.; Lamb W.F.; Steinberger J.K.";A good life for all within planetary boundaries;2018;top down;equal share per capita;country;Bangladesh;nitrogen;Consumption-based allocation of nitrogen from applied fertilizer;;;;62 TgN/yr;;8.9 kgN/yr;;3.83 kgN/cap;;0.43;;;;
